Item,Category,Amazon Link,Other Link
Meme's Worms,Worms,,http://bit.ly/2XXy18v
Mosquito Dunks,Fly Control,https://amzn.to/31z7fFf,
Sticky Fly Trap,Fly Control,https://amzn.to/39eLIFA,
Bug Zapper Bulb,Fly Control,https://amzn.to/3cDH4nV,
Mosquito Bits Bti,Fly Control,https://amzn.to/3pZSWng,
Diatomaceous Earth Food Grade,Fly Control,https://amzn.to/4u1AYCn,
Urban Worm Bag (affiliate link),Worm Bag,https://amzn.to/3R3qYtQ,http://bit.ly/3sJ7wC8
Vermibag (affiliate link),Worm Bag,,https://bit.ly/3sLhq5W
Bus Boy Tubs,Worm Bin Items,https://amzn.to/4hSL3MU,
Pine Shavings,Worm Bin Items,https://amzn.to/3pP7vKv,
Blue Tarp,Worm Bin Items,https://amzn.to/3rXmPGY,
10 Gallon Tote (Brute version),Worm Bin Items,https://amzn.to/3m3BlJq,
Waterproof gloves,Worm Bin Items,https://amzn.to/3m21vfp,
Chapin Sprayer,Water Gear,https://amzn.to/2KWLpHk,
KN95 Masks,Worm Bin Items,https://amzn.to/2Gay7Vb,
Folding Utility Knife,Paper,https://amzn.to/3baqVW4,
100 Pack Utility Knife Blades,Paper,https://amzn.to/39169FP,
Bokashi Brother Bran,Bokashi Items,https://amzn.to/2Op2Gu3,
5 Gallon Bucket and Gamma Seal Lid,Bokashi Items,https://amzn.to/2Z0oa2v,
Fujifilm X-T5,Video Gear,https://amzn.to/4tBUUMB,
Canon EOS 90D ,Video Gear,https://amzn.to/3bmTmP9,
Canon EF-S 24mm f/2.8 STM Lens ,Video Gear,https://amzn.to/37ntuBx,
Panasonic 4k Camcorder ,Video Gear,https://amzn.to/3bjTZsD,
GoPro Hero 8 Black ,Video Gear,https://amzn.to/3py8caz,
GEEKOTO Tripd ,Video Gear,https://amzn.to/3bltu66,
Neewer Advanced 660 LED Studio Lighting ,Video Gear,https://amzn.to/37JP5Ez,
Davinci Resolve ,Video Gear,https://amzn.to/3s89jiM,
Ego 4 Gallon Sprayer,Water Gear,https://amzn.to/4wGyP0X,
Bonsaii 12 Sheet Micr-cut Paper Shredder,Paper,https://amzn.to/4aVcRhy,
